	HD1_eTconv_PBMCs	HD1_nTconv_PBMCs	HD1_effector_CD8posT_PBMCs	HD1_naive_CD8posT_PBMCs	HD1_nTreg_PBMCs	HD1_eTreg_PBMCs	HD2_eTconv_PBMCs	HD2_nTconv_PBMCs	HD2_effector_CD8posT_PBMCs	HD2_naive_CD8posT_PBMCs	HD2_nTreg_PBMCs	HD2_eTreg_PBMCs	HD3_eTconv_PBMCs	HD3_nTconv_PBMCs	HD3_effector_CD8posT_PBMCs	HD3_naive_CD8posT_PBMCs	HD3_nTreg_PBMCs	HD3_eTreg_PBMCs	NSCLC5_eTconv_TILs	NSCLC5_effector_CD8posT_TILs	NSCLC5_eTreg_TILs	NSCLC6_eTconv_TILs	NSCLC6_effector_CD8posT_TILs	NSCLC6_eTreg_TILs	NSCLC7_eTconv_TILs	NSCLC7_effector_CD8posT_TILs	NSCLC7_eTreg_TILs	NSCLC1_eTconv_PBMCs	NSCLC1_effector_CD8posT_PBMCs	NSCLC1_eTreg_PBMCs	NSCLC1_eTconv_TILs	NSCLC1_effector_CD8posT_TILs	NSCLC1_eTreg_TILs	NSCLC2_eTconv_PBMCs	NSCLC2_effector_CD8posT_PBMCs	NSCLC2_eTreg_PBMCs	NSCLC2_eTconv_TILs	NSCLC2_effector_CD8posT_TILs	NSCLC2_eTreg_TILs	NSCLC3_eTconv_PBMCs	NSCLC3_effector_CD8posT_PBMCs	NSCLC3_eTreg_PBMCs	NSCLC3_eTconv_TILs	NSCLC3_effector_CD8posT_TILs	NSCLC3_eTreg_TILs	NSCLC4_eTconv_PBMCs	NSCLC4_effector_CD8posT_PBMCs	NSCLC4_eTreg_PBMCs	NSCLC4_eTconv_TILs	NSCLC4_effector_CD8posT_TILs	NSCLC4_eTreg_TILs
Fibroblasts	0	0	0.0129	0	0.0209	0.0149	0	0	0.0059	0	0.0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109	0	0	0	0	0	0	0	0	0	0.0061	0.0338	0	0.0855	0.0029	0.0046	0.0028	0.0388	0	0.0179	0.0837	0.0131	0.0319
GMP	0.027	0.0567	0	0	0	0	0	0.0467	0	0.0038	0.0658	0	0	0.0742	0	0.0371	0.0623	0	0.0395	0	0	0	0	0	0	0.0111	0.0588	0.0388	0.0071	0.0185	0.0387	0	0	0	0	0.0262	0	0.0179	0.0771	0	0	0	0	0	0	0	0	0.0153	0	0.0103	0
HSC	0	0.0644	0	0.0193	0.1285	0.122	0.0297	0.0533	0	0.0588	0.1672	0.0277	0	0.0884	0	0.0201	0.076	0	0	0.0761	0.1204	0.0536	0.0497	0.109	0.0943	0	0.0986	0	0.0151	0	0.0474	0.0665	0.1487	0.0706	0	0.0754	0.0517	0	0.0103	0.0115	0	0.0236	0.0443	0	0.2164	0.0246	0	0.0317	0.0949	0	0.1143
Hepatocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0.025	0	0	0.0049	0	0	0.0175	0	0	0	0.0073	0	0.0268	0	0	0	0	0	0.0134	0	0	0	0	0	0	0	0	0	1e-04	0	0.0167
Keratinocytes	0.0162	0.0351	0	0.0242	0.0157	0	0.0191	0.0055	0	0.0177	4e-04	0	0	0.0324	0	0.0255	0.0288	0	0.1173	0.0333	0.1081	0.018	0.0104	0.0498	0.0016	0	0.0342	0.0149	0	0	0.2271	0.2267	0.2304	0.006	0	0	0.0027	2e-04	0	0	0	0	0.0123	0	0.0204	0	0	0	0	0.0018	0.0355
MEP	0.0352	0.1084	0.0246	0.0725	0.0602	0.1436	0.1378	0.0981	0.1033	0.1646	0.1427	0.1139	0.1581	0.158	0.0799	0.1445	0.1508	0.0917	0.0738	0.0874	0.2284	0.0573	0.0959	0.1549	0	0.0374	0.2045	0	0.0411	0.05	0.2034	4e-04	0.197	0.0535	0.0244	0.0452	0	0	0.1149	0.0498	0.0056	0	0	0	0.0845	0.0672	0.0346	0.036	0.0257	0	0.078
MPP	0.1646	0.1947	0.213	0.2759	0.0666	0.0503	0.247	0.0832	0.1594	0.1897	0.1169	0.1091	0.2042	0.1486	0.086	0.2781	0.1966	0.2229	0.1236	0.0957	0.0294	0.1147	0.1134	0.1473	0.1061	0.179	0.0986	0.2893	0.1018	0.2011	0.1172	0	0.007	0.0818	0.1425	0.2226	0.0261	0.1855	0.0804	0.1672	0.1813	0.11	0.1469	0.1519	0.0552	0.0406	0.2032	0.1805	0	0.1084	0
MSC	0.2784	0.4466	0	0.3709	0.0476	0.1364	0.3836	0.3725	0.1766	0.4204	0.2159	0.3004	0.3756	0.4427	0.1626	0.4006	0.4432	0.2395	0.1477	0.1901	0.1262	0.3884	0.2298	0.1989	0.0869	0.1523	0.1953	0.2	0.1242	0.2971	0.2733	0	0.2862	0.0559	0.0742	0.2197	0.0549	0	0.2156	0.1061	0.1306	0	0.2622	0.0143	0.2259	0	0	0.0858	0	0	0
Macrophages	0.0317	0.0113	0.1113	0.0354	0	0.1114	0.0695	0.0684	0.0966	0.0543	0.0235	0.1203	0.0715	0.0895	0.0903	0.0742	0.0436	0.1178	0.252	0.21	0.288	0.1339	0.1426	0.1752	0.0802	0.1788	0.3187	0.0813	0.0685	0.0996	0.2113	0.2093	0.2886	0.0702	0.0555	0.1028	0.1728	0.1493	0.2589	0.0506	0.0676	0.1058	0.067	0.1332	0.148	0.0626	0.0844	0.1101	0.2046	0.1447	0.2994
Macrophages M1	0	0	0.0071	0	0	0.0131	0.004	0	0.016	0	0.0064	0.0216	0.0074	9e-04	0.0212	0.0174	0	0.0107	0.0647	0.0422	0.0841	0.0389	0.0439	0.0741	0.0361	0.0193	0.1122	0.0138	0	0	0.0441	0.0777	0.0806	0.0121	0	0	0.0589	0.0409	0.0891	0.0094	0.0093	0.0029	0.001	0.0269	0.0602	0	0.0048	0	0.0528	0.0144	0.0915
Macrophages M2	0.0462	0	0.1389	0	0.0162	0.0584	0.0731	0.063	0.0911	0.044	0	0.0572	0.0642	0.034	0.0776	0.0174	0.0263	0.1004	0.2147	0.124	0.1601	0.0484	0.0447	0.0643	0	0.1523	0.149	0.087	0.0793	0.1135	0.045	0.0968	0.1838	0.0111	0.0651	0.1069	0.0918	0.0819	0.1574	0.0289	0.083	0.0788	0.0381	0.0557	0.0764	0.0401	0.0929	0.0936	0.1351	0.0606	0.2175
Mast cells	0.013	0	0.0062	0	0.0197	0	0.0131	0.0024	0	0	0.004	0	0	0	0	0	0.0092	0.014	0.0222	0	0.0069	0.0074	0.0052	0.0036	0.016	0.0027	0.0201	0.0406	0.0243	0.0254	0	0.0074	0	0.0254	0.0257	0.0176	0.0177	0.0128	0.0154	0.0364	0.0268	0.0158	0.0188	0.0201	0	0.0213	0.0201	0	0.0405	0.0312	1e-04
Megakaryocytes	0.0569	0.0504	0.1007	0.0425	0.1473	0.1652	0.0777	0.078	0.0776	0.0731	0.174	0.2037	0	0.0715	0	0.1291	0.1724	0.086	0	0	0.1637	0	0.008	0.09	0.0512	0.0523	0.1377	0.0787	0.04	0.1139	0.0522	0.0207	0.1902	0.0338	0.108	0.1463	0	0.0604	0.0674	0.1341	0.0877	0.1792	0.1074	0.0648	0.2247	0.0829	0.0461	0.1834	0.0202	0.0092	0.0767
Melanocytes	0.0247	0.0108	0.0124	0.0196	0.0341	0.001	0.0258	0.023	0	0.008	0.0027	0.0141	0.0063	0.0179	0.0329	0.0234	0	0.0264	0.0112	0.0369	0	0.0204	0.0365	0	0.0414	0.0217	0.0067	0.0277	0.0343	0.0151	0	0.0038	0	0.022	0.0408	0.0017	0.0273	0.0032	0.0118	0.017	0.033	0.0125	0.0598	0.0526	0.0086	0	0.0201	0.0343	0.0045	0.0447	0.019
Memory B-cells	0	0.0154	0	0.0188	0.0142	0	0	0	0.0174	0.072	0.0487	0.0201	0	0.0017	0.0177	0.0484	0.0436	0	0.0033	0.0028	0.1049	0	0	0.0555	0.023	0	0.1147	0	0	0	0.0757	0	0.064	0	0	0	0	0	0.0267	0	0	0	0.0224	0	0.055	0	0	0	0	0	0.0278
Mesangial cells	0	0	0.0184	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0.0066	0.014	0.0081	0	0	0.0101	0.0098	0	0.01	0	0	0	0.0192	0.0575	0	0.0011	0	0	0	0.0183	0	0	0	0	0	0.0194	0	0	0	0.0158	0.0035	0.0056	0
Monocytes	0	0	0	0	0	0	0	0.0157	0.0505	0	0	0	0	0.0478	0	0	0.0236	0	0.1725	0.0324	0.1158	0	0	0	0	0.0133	0.1775	0.0195	0	0	0.087	0	6e-04	0.027	0	0	0	0	0	0	0	0	0	0	0	0.0086	0	0	0	0	0
Myocytes	0.06	0.0469	0.0579	0.0517	0.0491	0.0456	0.05	0.0379	0.0324	0.0833	0.0789	0.0449	0.0289	0.0609	0.0504	0.0553	0.0536	0.0463	0	0.0256	0.0222	0.0259	0.0302	0.0292	0.0296	0.0515	0.0343	0.0375	0.0299	0.0582	0.0698	0.0146	0.0566	0.0378	0.0408	0.0389	0.0104	0.0518	0.0361	0.0333	0.0463	0.0474	0.0358	0.0215	0.0346	0.032	0.0586	0.0638	0.0212	0.0255	0.0134
NK cells	0.0873	0	0.3906	0	0	0	0.1869	0	0.4326	0	0	0	0.0077	0	0.3796	0	0	0	0.3445	0.4204	0	0.2985	0.4289	0.0543	0.2455	0.3257	0	0.2638	0.2868	0	0.2333	0.4126	0.0799	0.1635	0.3785	0	0.2365	0.3942	0	0.0319	0.3506	0	0.1584	0.4461	0.0371	0	0.3153	0	0.0672	0.4082	0
NKT	0.454	0.4953	0.3957	0.4843	0.524	0.4757	0.373	0.4648	0.3921	0.5525	0.5587	0.4808	0.5389	0.5808	0.4615	0.6159	0.4953	0.4887	0.2509	0.3028	0.2834	0.4214	0.3871	0.395	0.4872	0.3714	0.3675	0.4952	0.4338	0.5869	0	0.2134	0	0.4249	0.4385	0.5815	0.3437	0.4542	0.4217	0.5191	0.5034	0.612	0.4452	0.3737	0.444	0.5429	0.5046	0.6753	0.3937	0.266	0.3906
Neurons	0.0094	0.0233	0.0067	0.0221	0.0213	0.0083	0	0.0242	4e-04	0.0215	0.0183	0	0.0084	0.0231	0.0018	0.0162	0.0098	0	0	0.0082	0.0138	0.0144	0.0087	0.0167	0.0166	0.0141	0.0063	0.0038	0.0137	0.0067	0.0309	0	0.0193	0.0078	6e-04	0	0.0033	0.0077	0.0238	0.0148	0	0.0048	0.0074	0.0156	0.017	0.0205	0.0036	0	0.0203	0.009	0
